CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"13,000.00","3,375",0.45,0.55,75,-0.50,0.45,120.56,56,14,378,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",75,0.80,1.20,300,-0.50,0.75,100.73,27,-3,222,
,5,-,-,-,"9,900.00",-,"1,725","9,357.05","10,174.30","1,725","16,000.00","2,175",0.50,0.85,375,-0.55,0.50,86.80,25,-1,226,
,-,-,-,-,-,-,-,-,-,-,"16,500.00",525,0.50,0.70,150,-0.70,0.50,81.63,38,-4,84,
,"1,466",-,1,-,"8,995.00",150.00,75,"8,999.50","9,167.10",75,"17,000.00","2,100",0.60,0.70,"1,500",-0.20,0.70,78.66,67,-5,"1,740",
,690,-,2,102.18,"8,046.45",166.45,75,"8,009.10","8,080.10",75,"18,000.00","1,725",0.65,1.25,150,-0.30,0.65,68.35,194,-38,"1,514",
,100,-1,1,-,"7,000.00",111.65,75,"6,481.85","7,134.60","1,725","19,000.00","3,075",1.10,1.40,"1,800",0.25,1.45,63.26,793,-59,"4,526",
,14,-,-,-,"6,397.65",-,75,"6,400.00",-,-,"19,500.00",-,-,-,-,-,-,-,-,-,-,
,"3,272",-440,452,63.79,"6,033.75",151.35,75,"6,025.00","6,044.70",75,"20,000.00","7,500",1.25,1.40,"5,175",-0.05,1.40,53.55,"2,297",34,"7,644",
,"4,608",-90,121,46.25,"5,031.70",149.20,75,"5,016.75","5,042.30",75,"21,000.00","2,025",1.15,1.20,"1,650",-0.20,1.15,43.58,"3,352",-919,"19,046",
,"4,548",-324,365,-,"4,026.80",142.95,75,"4,023.65","4,052.25",75,"22,000.00","1,800",2.05,2.10,150,-0.30,2.00,36.90,"5,022",822,"19,874",
,11,-,-,-,"3,247.10",-5.75,"1,725","2,940.70","3,303.95","1,725","22,850.00","1,650",2.25,3.00,150,-0.75,2.30,29.80,90,27,"1,059",
