CALLS,,,,,,,,,,,,PUTS,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,-,-,-,-,-,-,-,-,-,-,"13,000.00",900,0.45,0.6,825,0.15,0.6,155.79,24,-,378
,-,-,-,-,-,-,-,-,-,-,"15,000.00",75,0.8,1,600,0.25,1,130.72,63,10,232
,5,-,-,-,-,-,150,"10,115.55","10,275.90",225,"16,000.00","3,825",0.5,0.6,450,-,-,104.57,-,-,213
,-,-,-,-,-,-,-,-,-,-,"16,500.00",675,0.4,0.8,150,-,-,99.06,-,-,65
,"1,466",-,-,-,-,-,75,"9,151.10","9,265.50",75,"17,000.00",525,0.55,0.7,"5,400",-0.3,0.5,97.45,51,-5,"1,672"
,666,-,35,110.17,"8,220.00",16,75,"8,220.60","8,244.70",75,"18,000.00",150,0.55,0.9,"1,425",0.05,0.9,89.52,30,3,"1,514"
,100,-,2,96.29,"7,222.25",3.1,75,"7,195.40","7,245.75",750,"19,000.00","1,875",0.75,1.05,225,-0.25,0.8,76.73,188,-53,"4,328"
,14,-,-,-,-,-,75,"6,636.20","6,750.00",75,"19,500.00",-,-,-,-,-,-,-,-,-,-
,"3,239",-10,144,-,"6,218.20",5.7,75,"6,213.75","6,217.95",75,"20,000.00",225,0.8,0.85,"1,350",-0.15,0.8,65.68,517,-92,"7,173"
,"4,335",-105,304,47.95,"5,228.15",28.75,450,"5,218.25","5,219.55",75,"21,000.00","5,025",1.05,1.1,"1,575",-0.05,1.1,55.75,"3,278",-544,"17,508"
,"4,540",-7,130,-,"4,217.90",14.7,75,"4,215.75","4,219.80",75,"22,000.00","71,625",1.45,1.5,"14,025",-0.2,1.45,46.4,"4,045",692,"21,410"
,11,-,-,-,-,-,750,"3,336.80","3,393.30",750,"22,850.00","14,850",1.35,2.05,300,-0.5,1.55,37.49,118,9,"1,032"
,58,-,-,-,-,-,750,"3,293.20","3,356.45",750,"22,900.00",150,1.55,1.7,"1,200",-0.35,1.55,36.95,290,36,"1,719"
,25,-,-,-,-,-,750,"3,244.45","3,294.75",750,"22,950.00","13,500",1.45,2.4,300,-,-,34.52,-,-,974
,"8,445",-90,271,-,"3,214.55",15.25,75,"3,215.45","3,219.75",75,"23,000.00","12,750",1.5,1.55,"24,075",-0.5,1.5,36,"9,313","3,820","40,666"
